,MONTH_END,Base oil Group 1 SN 150 ex-tank Singapore value low,Base oil Group 1 SN 500 ex-tank Singapore value low,Base oil Group 1 Bright stock ex-tank Singapore value low,Base oil Group 1 SN 150 fob Asia value low,Base oil Group 1 SN 500 fob Asia value low,Base oil Group 1 Bright stock fob Asia value low,Base oil Group 2 N150 ex-tank Singapore value low,Base oil Group 2 N500 ex-tank Singapore value low,Base oil Group 2 N150 fob Asia value low,Base oil Group 2 N500 fob Asia value low,Base oil Group 1 SN 500 Asia-Pacific month value low,Base oil Group 1 SN 500 Asia-Pacific quarter value low,Base oil Group 1 SN 150 cfr Northeast Asia value low,Base oil Group 1 SN 500 cfr Northeast Asia value low,Base oil Group 1 Bright stock cfr Northeast Asia value low,Base oil Group 2 N150 cfr Northeast Asia value low,Base oil Group 2 N500 cfr Northeast Asia value low,Base oil Group 1 SN 150 China NE Daqing domestic $/t value low,Base oil Group 1 SN 150 China NE Dalian domestic $/t value low,Base oil Group 1 SN 150 China N Yanshan domestic $/t value low,Base oil Group 1 SN 150 China S Maoming domestic $/t value low,Base oil Group 1 SN 400 China NE Dalian domestic $/t value low,Base oil Group 1 SN 400 China S Maoming domestic $/t value low,Base oil Group 2 N150 China E Qaoqiao domestic $/t value low,Base oil Group 1 SN 150 cfr Northeast Asia inc. taxes and duty $/t value low,Base oil Group 1 SN 500 cfr Northeast Asia inc. taxes and duty $/t value low,Base oil Group 1 Bright stock cfr Northeast Asia inc. taxes and duty $/t value low,Base oil Group 2 N150 cfr Northeast Asia inc. taxes and duty $/t value low,Base oil Group 2 N500 cfr Northeast Asia inc. taxes and duty $/t value low,Base oil Group 1 SN 150 cfr India value low,Base oil Group 1 SN 500 cfr India value low,Base oil Group 1 Bright stock cfr India value low,Base oil Group 2 N150 cfr India value low,Base oil Group 2 N500 cfr India value low,Base oil Group 1 SN 150 cfr UAE value low,Base oil Group 1 SN 500 cfr UAE value low,Base oil Group 1 SN 150 fob domestic NWE value low,Base oil Group 1 SN 500 fob domestic NWE value low,Base oil Group 1 Bright stock fob domestic NWE value low,Base oil Group 1 SN 150 fob European export value low,Base oil Group 1 SN 500 fob European export value low,Base oil Group 1 Bright stock fob European export value low,Base oil Group 1 SN 500 fob NWE month value low,Base oil Group 1 SN 500 fob NWE quarter value low,Base oil Group 1 SN 150 fob Baltic Sea value low,Base oil Group 1 SN 500 fob Baltic Sea value low,Base oil Group 1 SN 150 fob Black Sea value low,Base oil Group 1 SN 500 fob Black Sea value low,Base oil Group 1 SN 150 fob United States $/t value low,Base oil Group 1 SN 500 fob United States $/t value low,Base oil Group 1 Bright stock fob United States $/t value low,Base oil Group 2 N100 fob United States $/t value low,Base oil Group 2 N220 fob United States $/t value low,Base oil Group 2 N600 fob United States $/t value low,Base oil Group 1 SN 150 US domestic $/t value low,Base oil Group 1 SN 500 US domestic $/t value low,Base oil Group 1 Bright stock US domestic $/t value low,Base oil Group 1 SN 500 fob United States $/t month value low,Base oil Group 1 SN 500 fob United States $/t quarter value low,Base oil Group 1 SN 150 fob NWE month value low,Base oil Group 1 SN 150 fob NWE quarter value low,Base oil Group 1 SN 150 (LVI) cfr India value low,Base oil Group 1 SN 500 (LVI) cfr India value low,Base oil Group 1 SN 150 (LVI) cfr UAE value low,Base oil Group 1 SN 500 (LVI) cfr UAE value low,Base oil Group 3 4cst fca NWE $/t value low,Base oil Group 3 6cst fca NWE $/t value low,Base oil Group 3 8cst fca NWE $/t value low,Base oil Group 2 N100 US domestic $/t value low,Base oil Group 2 N220 US domestic $/t value low,Base oil Group 2 N600 US domestic $/t value low,Base oil Group 3 4cst US domestic $/t value low,Base oil Group 3 6cst US domestic $/t value low,Base oil Group 3 8cst US domestic $/t value low,Base oil Group 3 4cst cfr northeast Asia value low,Base oil Group 3 6cst cfr northeast Asia value low,Base oil Group 3 8cst cfr northeast Asia value low,Base oil Group 3 4cst cfr India value low,Base oil Group 3 6cst cfr India value low,Base oil Group 3 8cst cfr India value low,Base oil Group 3 4cst ex-tank UAE value low,Base oil Group 3 6cst ex-tank UAE value low,Base oil Group 3 8cst ex-tank UAE value low,Base oil Group 2 N150 China Huizhou domestic $/t value low,Base oil Group 1 SN 400 China NE Fushun domestic $/t value low,Base oil Group 1 SN 150 cfr Gebze value low,Base oil Group 1 SN 500 cfr Gebze value low,Base oil Group 1 SN 150 cpt Naushki value low,Base oil Group 1 SN 500 cpt Naushki value low,Base oil Group 2 N150 fca ARA $/t value low,Base oil Group 2 N600 fca ARA $/t value low,Base oil Group 3 4cst ex-tank Singapore value low,Base oil Group 3 6cst ex-tank Singapore value low,Base oil Group 2 N100 fca ARA $/t value low,Base oil Group 2 N220 fca ARA $/t value low,Base oil Group 3 4cst ex-tank E China value low,Base oil Group 3 6cst ex-tank E China value low,Base oil Group 2 N150 ex-tank E China value low,Base oil Group 2 N500 ex-tank E China value low,Base oil Group 3 8cst ex-tank E China value low,Base oil Group II N 150 cfr ex-tank UAE value low,Base oil Group II N 500 cfr ex-tank UAE value low,Base oil Group III 4cst Asia fob value low,Base oil Group III 6cst Asia fob value low,Base oil Group III 8cst Asia fob value low,Base oil Group III (b) 4cst fca NWE USD/t value low,Base oil Group III (b) 6cst fca NWE USD/t value low,Base oil Group III (b) 8cst fca NWE USD/t value low,Base oil Group III (a) 4cst fca NWE USD/t value low,Base oil Group III (a) 6cst fca NWE USD/t value low,Base oil Group III (a) 8cst fca NWE USD/t value low,Base oil Group III 4cst fob Baltic Sea netback value low,Base oil Group III 4cst cpt Posin value low,Base oil Bright stock ex-tank UAE value low,Base oil Bright stock cfr UAE value low,Base oil Group I Bright stock ex-tank E China domestic USD/t value low
2022-01-31,2022-01-31,840.0,1010.0,1140.0,730.0,880.0,880.0,860.0,1080.0,770.0,840.0,870.45,847.15,760.0,920.0,1010.0,820.0,860.0,1128.0,1128.0,1128.0,1128.0,1159.0,1159.0,1238.0,1213.0,1405.0,1513.0,1285.0,1333.0,770.0,940.0,980.0,780.0,910.0,800.0,940.0,890.0,1040.0,1435.0,750.0,890.0,1210.0,880.45,857.15,690.0,840.0,660.0,810.0,773.0,998.0,1485.0,769.0,869.0,957.0,951.0,1177.0,1541.0,987.05,967.05,740.45,717.15,745.0,930.0,775.0,890.0,1567.0,1656.0,1623.0,973.0,1074.0,1176.0,1846.0,1641.0,1632.0,1105.0,1075.0,795.0,1175.0,1175.0,910.0,1290.0,1290.0,1030.0,1261.0,1159.0,755.0,940.0,610.0,700.0,1188.0,1400.0,1430.0,1425.0,1182.0,1221.0,11300.0,10800.0,8550.0,8550.0,8400.0,860.0,980.0,1430.0,1420.0,1150.0,1472.0,1600.0,1589.0,1617.0,1734.0,1667.0,1368.0,1180.0,1200.0,1030.0,1520.0
2022-02-28,2022-02-28,840.0,1010.0,1140.0,750.0,880.0,885.0,865.0,1080.0,800.0,840.0,858.0,831.5,770.0,920.0,1010.0,840.0,860.0,1155.0,1155.0,1155.0,1155.0,1187.0,1187.0,1258.0,1226.0,1406.0,1514.0,1310.0,1334.0,780.0,930.0,980.0,810.0,900.0,810.0,930.0,890.0,1040.0,1435.0,750.0,890.0,1210.0,872.05,841.5,695.0,850.0,660.0,810.0,773.0,909.0,1397.0,769.0,817.0,891.0,951.0,1094.0,1470.0,882.7,859.9,730.5,701.5,755.0,900.0,775.0,860.0,1593.0,1682.0,1638.0,973.0,1022.0,1110.0,1761.0,1600.0,1600.0,1105.0,1075.0,795.0,1175.0,1175.0,900.0,1290.0,1290.0,1030.0,1281.0,1187.0,755.0,940.0,610.0,700.0,1216.0,1415.0,1430.0,1425.0,1211.0,1248.0,11300.0,10800.0,8550.0,8550.0,8400.0,860.0,980.0,1430.0,1420.0,1150.0,1509.0,1638.0,1615.0,1632.0,1749.0,1671.0,1402.0,1230.0,1200.0,1030.0,1525.0
2022-03-31,2022-03-31,920.0,1090.0,1210.0,840.0,950.0,1000.0,950.0,1110.0,890.0,910.0,865.8,814.95,850.0,980.0,1070.0,920.0,910.0,1225.0,1241.0,1225.0,1225.0,1256.0,1241.0,1297.0,1324.0,1480.0,1588.0,1408.0,1396.0,850.0,980.0,1050.0,890.0,930.0,860.0,990.0,985.0,1155.0,1505.0,860.0,1005.0,1345.0,920.8,869.95,750.0,925.0,700.0,875.0,903.0,945.0,1435.0,924.0,909.0,951.0,1057.0,1168.0,1544.0,884.95,866.3,775.8,724.95,825.0,950.0,825.0,920.0,1591.0,1680.0,1636.0,1082.0,1113.0,1185.0,1761.0,1600.0,1600.0,1115.0,1085.0,805.0,1175.0,1175.0,900.0,1290.0,1290.0,1030.0,1321.0,1241.0,860.0,1035.0,640.0,740.0,1221.0,1409.0,1430.0,1425.0,1216.0,1243.0,11300.0,10800.0,8650.0,8700.0,8400.0,970.0,1040.0,1430.0,1420.0,1150.0,1514.0,1636.0,1613.0,1630.0,1746.0,1669.0,1402.0,1270.0,1220.0,1100.0,1582.0
2022-04-30,2022-04-30,1040.0,1210.0,1360.0,980.0,1080.0,1180.0,1180.0,1260.0,1060.0,1110.0,969.35,905.35,980.0,1110.0,1230.0,1030.0,1050.0,1246.0,1262.0,1246.0,1246.0,1278.0,1262.0,1313.0,1479.0,1635.0,1778.0,1539.0,1563.0,1020.0,1160.0,1300.0,1130.0,1190.0,1070.0,1190.0,1300.0,1475.0,1760.0,1200.0,1375.0,1660.0,1264.35,1200.35,970.0,1160.0,920.0,1110.0,1318.0,1416.0,1793.0,1364.0,1403.0,1440.0,1379.0,1505.0,1852.0,1320.3,1251.2,1089.35,1025.35,995.0,1150.0,1035.0,1140.0,1750.0,1794.0,1816.0,1426.0,1479.0,1536.0,1969.0,1827.0,1833.0,1155.0,1125.0,845.0,1255.0,1255.0,980.0,1390.0,1390.0,1180.0,1328.0,1262.0,1220.0,1395.0,810.0,930.0,1400.0,1666.0,1470.0,1465.0,1422.0,1483.0,11550.0,10900.0,8850.0,9050.0,8550.0,1130.0,1210.0,1470.0,1460.0,1190.0,1700.0,1733.0,1755.0,1800.0,1859.0,1870.0,1584.0,1270.0,1380.0,1310.0,1759.0
2022-05-31,2022-05-31,1140.0,1310.0,1440.0,1030.0,1130.0,1240.0,1270.0,1340.0,1210.0,1250.0,1050.75,953.4,1040.0,1180.0,1300.0,1130.0,1150.0,1238.0,1253.0,1238.0,1238.0,1267.0,1253.0,1282.0,1536.0,1704.0,1848.0,1644.0,1668.0,1170.0,1220.0,1370.0,1260.0,1310.0,1160.0,1210.0,1525.0,1695.0,1915.0,1475.0,1645.0,1875.0,1540.75,1451.6,1070.0,1260.0,1020.0,1210.0,1348.0,1493.0,1823.0,1432.0,1491.0,1533.0,1397.0,1567.0,1870.0,1389.05,1337.15,1370.75,1281.6,1135.0,1210.0,1125.0,1140.0,1812.0,1849.0,1848.0,1479.0,1546.0,1608.0,1969.0,1827.0,1833.0,1215.0,1185.0,905.0,1365.0,1365.0,1090.0,1410.0,1410.0,1200.0,1297.0,1253.0,1380.0,1540.0,810.0,930.0,1607.0,1765.0,1600.0,1645.0,1571.0,1649.0,11650.0,11000.0,9100.0,9300.0,8650.0,1220.0,1310.0,1590.0,1580.0,1310.0,1802.0,1812.0,1791.0,1854.0,1911.0,1895.0,1682.0,1320.0,1380.0,1310.0,1732.0
2022-06-30,2022-06-30,1170.0,1350.0,1470.0,1070.0,1230.0,1320.0,1290.0,1370.0,1260.0,1310.0,1146.4,1077.6,1070.0,1230.0,1350.0,1170.0,1190.0,1253.0,1268.0,1253.0,1253.0,1283.0,1268.0,1313.0,1570.0,1763.0,1906.0,1691.0,1715.0,1190.0,1240.0,1400.0,1280.0,1330.0,1200.0,1300.0,1660.0,1850.0,2035.0,1615.0,1775.0,1960.0,1651.4,1582.6,1120.0,1310.0,1070.0,1260.0,1421.0,1594.0,1899.0,1531.0,1607.0,1680.0,1497.0,1708.0,1987.0,1521.15,1479.1,1471.4,1402.6,1165.0,1210.0,1125.0,1140.0,1933.0,1970.0,1954.0,1603.0,1696.0,1782.0,1969.0,1827.0,1833.0,1255.0,1225.0,945.0,1405.0,1405.0,1130.0,1450.0,1440.0,1230.0,1327.0,1268.0,1400.0,1570.0,810.0,930.0,1822.0,2008.0,1620.0,1665.0,1790.0,1860.0,12100.0,11400.0,9800.0,9500.0,9100.0,1280.0,1370.0,1620.0,1610.0,1340.0,1918.0,1928.0,1881.0,1986.0,2059.0,2070.0,1784.0,1480.0,1500.0,1450.0,1775.0
2022-07-31,2022-07-31,1170.0,1340.0,1420.0,1050.0,1200.0,1210.0,1320.0,1370.0,1150.0,1200.0,1165.75,1077.75,1040.0,1220.0,1260.0,1150.0,1170.0,1241.0,1301.0,1241.0,1241.0,1256.0,1256.0,1286.0,1532.0,1748.0,1796.0,1664.0,1688.0,1200.0,1240.0,1300.0,1170.0,1190.0,1210.0,1290.0,1640.0,1800.0,2000.0,1540.0,1715.0,1900.0,1680.75,1592.75,1150.0,1340.0,1105.0,1295.0,1485.0,1654.0,1932.0,1597.0,1610.0,1773.0,1567.0,1764.0,2017.0,1630.0,1525.55,1505.75,1417.75,1125.0,1180.0,1115.0,1130.0,1882.0,1917.0,1882.0,1680.0,1732.0,1902.0,2063.0,1874.0,1859.0,1265.0,1235.0,955.0,1445.0,1445.0,1170.0,1480.0,1470.0,1250.0,1215.0,1256.0,1360.0,1520.0,810.0,930.0,1797.0,1947.0,1640.0,1685.0,1792.0,1812.0,12250.0,11500.0,9550.0,9400.0,9200.0,1340.0,1430.0,1640.0,1630.0,1360.0,1857.0,1867.0,1822.0,1937.0,2017.0,1992.0,1730.0,1480.0,1570.0,1460.0,1704.0
2022-08-31,2022-08-31,1000.0,1200.0,1270.0,850.0,980.0,980.0,1130.0,1160.0,930.0,990.0,951.95,893.8,930.0,1100.0,1100.0,1030.0,1050.0,1226.0,1285.0,1226.0,1226.0,1241.0,1241.0,1270.0,1396.0,1600.0,1600.0,1516.0,1540.0,1020.0,1090.0,1180.0,1030.0,1080.0,1120.0,1180.0,1540.0,1680.0,1930.0,1415.0,1520.0,1755.0,1491.95,1433.8,1080.0,1220.0,1020.0,1140.0,1182.0,1416.0,1726.0,1271.0,1330.0,1620.0,1430.0,1654.0,1908.0,1401.75,1358.2,1386.95,1328.8,985.0,1020.0,1005.0,980.0,1899.0,1928.0,1884.0,1519.0,1583.0,1851.0,2048.0,1843.0,1827.0,1215.0,1185.0,955.0,1345.0,1345.0,1140.0,1410.0,1400.0,1250.0,1215.0,1241.0,1190.0,1330.0,770.0,890.0,1794.0,1948.0,1520.0,1565.0,1789.0,1809.0,12250.0,11250.0,9550.0,9400.0,9000.0,1150.0,1250.0,1500.0,1490.0,1220.0,1874.0,1879.0,1829.0,1943.0,2023.0,1988.0,1752.0,1480.0,1280.0,1170.0,1643.0
2022-09-30,2022-09-30,990.0,1140.0,1240.0,850.0,940.0,970.0,1100.0,1140.0,880.0,940.0,881.9,848.4,930.0,1100.0,1100.0,1030.0,1050.0,1180.0,1236.0,1180.0,1180.0,1194.0,1194.0,1229.0,1386.0,1589.0,1589.0,1505.0,1529.0,990.0,1070.0,1130.0,1000.0,1050.0,1120.0,1180.0,1395.0,1510.0,1750.0,1260.0,1340.0,1575.0,1281.9,1248.4,1010.0,1150.0,870.0,970.0,1012.0,1249.0,1596.0,1110.0,1162.0,1524.0,1360.0,1591.0,1855.0,1225.45,1190.7,1201.9,1168.4,985.0,1020.0,1005.0,980.0,1875.0,1895.0,1846.0,1442.0,1510.0,1836.0,2041.0,1770.0,1748.0,1215.0,1185.0,955.0,1345.0,1345.0,1140.0,1410.0,1380.0,1250.0,1229.0,1194.0,1015.0,1110.0,690.0,810.0,1612.0,1787.0,1520.0,1565.0,1660.0,1656.0,12250.0,11250.0,9750.0,9650.0,9000.0,1080.0,1140.0,1500.0,1490.0,1220.0,1856.0,1846.0,1802.0,1905.0,1983.0,1949.0,1738.0,1480.0,1280.0,1170.0,1594.0
2022-10-31,2022-10-31,990.0,1090.0,1240.0,840.0,890.0,970.0,1090.0,1120.0,860.0,900.0,806.05,712.25,930.0,1100.0,1100.0,1030.0,1050.0,1162.0,1218.0,1162.0,1162.0,1176.0,1176.0,1251.0,1382.0,1585.0,1585.0,1506.0,1530.0,980.0,1050.0,1100.0,950.0,990.0,1080.0,1130.0,1235.0,1350.0,1610.0,1075.0,1175.0,1410.0,1091.75,997.25,1010.0,1060.0,870.0,930.0,915.0,1162.0,1529.0,939.0,952.0,1401.0,1291.0,1541.0,1835.0,1063.1,956.0,991.75,897.25,980.0,1000.0,1005.0,980.0,1875.0,1894.0,1846.0,1318.0,1327.0,1770.0,2041.0,1770.0,1748.0,1215.0,1185.0,955.0,1365.0,1345.0,1140.0,1420.0,1370.0,1230.0,1244.0,1176.0,990.0,1020.0,690.0,740.0,1501.0,1721.0,1540.0,1565.0,1511.0,1531.0,12250.0,11250.0,9750.0,10000.0,9000.0,1060.0,1110.0,1520.0,1490.0,1220.0,1855.0,1846.0,1802.0,1904.0,1982.0,1948.0,1733.0,1750.0,1260.0,1170.0,1584.0
