MONTH_END,CODE,CODE_DISPLAY_NAME,PRICE_TYPE_DESCRIPTION,VALUE
2010-01-31,PA0007453,Base oil Group 1 SN 150 ex-tank Singapore,value high,850.0
2010-01-31,PA0007454,Base oil Group 1 SN 500 ex-tank Singapore,value high,910.0
2010-01-31,PA0007455,Base oil Group 1 Bright stock ex-tank Singapore,value high,1020.0
2010-01-31,PA0007456,Base oil Group 1 SN 150 fob Asia,value high,740.0
2010-01-31,PA0007457,Base oil Group 1 SN 500 fob Asia,value high,800.0
2010-01-31,PA0007458,Base oil Group 1 Bright stock fob Asia,value high,910.0
2010-01-31,PA0007459,Base oil Group 2 N150 ex-tank Singapore,value high,850.0
2010-01-31,PA0007460,Base oil Group 2 N500 ex-tank Singapore,value high,910.0
2010-01-31,PA0007461,Base oil Group 2 N150 fob Asia,value high,770.0
2010-01-31,PA0007462,Base oil Group 2 N500 fob Asia,value high,820.0
2010-01-31,PA0007463,Base oil Group 1 SN 500 Asia-Pacific month,value high,802.65
2010-01-31,PA0007464,Base oil Group 1 SN 500 Asia-Pacific quarter,value high,827.85
2010-01-31,PA0007467,Base oil Group 1 SN 150 cfr Northeast Asia,value high,760.0
2010-01-31,PA0007468,Base oil Group 1 SN 500 cfr Northeast Asia,value high,840.0
2010-01-31,PA0007469,Base oil Group 1 Bright stock cfr Northeast Asia,value high,1000.0
2010-01-31,PA0007470,Base oil Group 2 N150 cfr Northeast Asia,value high,785.0
2010-01-31,PA0007471,Base oil Group 2 N500 cfr Northeast Asia,value high,860.0
2010-01-31,PA0007481,Base oil Group 1 SN 150 China NE Daqing domestic $/t,value high,1092.0
2010-01-31,PA0007482,Base oil Group 1 SN 150 China NE Dalian domestic $/t,value high,1099.0
2010-01-31,PA0007483,Base oil Group 1 SN 150 China N Yanshan domestic $/t,value high,1114.0
2010-01-31,PA0007484,Base oil Group 1 SN 150 China S Maoming domestic $/t,value high,1070.0
2010-01-31,PA0007485,Base oil Group 1 SN 400 China NE Dalian domestic $/t,value high,1246.0
2010-01-31,PA0007486,Base oil Group 1 SN 400 China S Maoming domestic $/t,value high,1085.0
2010-01-31,PA0007487,Base oil Group 2 N150 China E Qaoqiao domestic $/t,value high,1216.0
2010-01-31,PA0007493,Base oil Group 1 SN 150 cfr Northeast Asia inc. taxes and duty $/t,value high,1168.0
2010-01-31,PA0007494,Base oil Group 1 SN 500 cfr Northeast Asia inc. taxes and duty $/t,value high,1267.0
2010-01-31,PA0007495,Base oil Group 1 Bright stock cfr Northeast Asia inc. taxes and duty $/t,value high,1465.0
2010-01-31,PA0007496,Base oil Group 2 N150 cfr Northeast Asia inc. taxes and duty $/t,value high,1199.0
2010-01-31,PA0007497,Base oil Group 2 N500 cfr Northeast Asia inc. taxes and duty $/t,value high,1292.0
2010-01-31,PA0007498,Base oil Group 1 SN 150 cfr India,value high,755.0
2010-01-31,PA0007499,Base oil Group 1 SN 500 cfr India,value high,785.0
2010-01-31,PA0007500,Base oil Group 1 Bright stock cfr India,value high,980.0
2010-01-31,PA0007501,Base oil Group 2 N150 cfr India,value high,765.0
2010-01-31,PA0007502,Base oil Group 2 N500 cfr India,value high,840.0
2010-01-31,PA0007519,Base oil Group 1 SN 150 cfr UAE,value high,760.0
2010-01-31,PA0007520,Base oil Group 1 SN 500 cfr UAE,value high,785.0
2010-01-31,PA0007521,Base oil Group 1 SN 150 fob domestic NWE,value high,840.0
2010-01-31,PA0007522,Base oil Group 1 SN 500 fob domestic NWE,value high,855.0
2010-01-31,PA0007523,Base oil Group 1 Bright stock fob domestic NWE,value high,970.0
2010-01-31,PA0007524,Base oil Group 1 SN 150 fob European export,value high,750.0
2010-01-31,PA0007525,Base oil Group 1 SN 500 fob European export,value high,790.0
2010-01-31,PA0007526,Base oil Group 1 Bright stock fob European export,value high,900.0
2010-01-31,PA0007527,Base oil Group 1 SN 500 fob NWE month,value high,802.65
2010-01-31,PA0007528,Base oil Group 1 SN 500 fob NWE quarter,value high,827.85
2010-01-31,PA0007531,Base oil Group 1 SN 150 fob Baltic Sea,value high,690.0
2010-01-31,PA0007532,Base oil Group 1 SN 500 fob Baltic Sea,value high,710.0
2010-01-31,PA0007533,Base oil Group 1 SN 150 fob Black Sea,value high,730.0
2010-01-31,PA0007534,Base oil Group 1 SN 500 fob Black Sea,value high,740.0
2010-01-31,PA0007535,Base oil Group 1 SN 150 fob United States $/t,value high,726.0
2010-01-31,PA0007536,Base oil Group 1 SN 500 fob United States $/t,value high,914.0
2010-01-31,PA0007537,Base oil Group 1 Bright stock fob United States $/t,value high,914.0
2010-01-31,PA0007541,Base oil Group 2 N100 fob United States $/t,value high,770.0
2010-01-31,PA0007543,Base oil Group 2 N220 fob United States $/t,value high,800.0
2010-01-31,PA0007544,Base oil Group 2 N600 fob United States $/t,value high,1000.0
2010-01-31,PA0007549,Base oil Group 1 SN 150 US domestic $/t,value high,770.0
2010-01-31,PA0007550,Base oil Group 1 SN 500 US domestic $/t,value high,914.0
2010-01-31,PA0007551,Base oil Group 1 Bright stock US domestic $/t,value high,914.0
2010-01-31,PA0007555,Base oil Group 1 SN 500 fob United States $/t month,value high,922.9
2010-01-31,PA0007556,Base oil Group 1 SN 500 fob United States $/t quarter,value high,937.9
2010-02-28,PA0007453,Base oil Group 1 SN 150 ex-tank Singapore,value high,830.0
2010-02-28,PA0007454,Base oil Group 1 SN 500 ex-tank Singapore,value high,935.0
2010-02-28,PA0007455,Base oil Group 1 Bright stock ex-tank Singapore,value high,1050.0
2010-02-28,PA0007456,Base oil Group 1 SN 150 fob Asia,value high,730.0
2010-02-28,PA0007457,Base oil Group 1 SN 500 fob Asia,value high,830.0
2010-02-28,PA0007458,Base oil Group 1 Bright stock fob Asia,value high,940.0
2010-02-28,PA0007459,Base oil Group 2 N150 ex-tank Singapore,value high,830.0
2010-02-28,PA0007460,Base oil Group 2 N500 ex-tank Singapore,value high,945.0
2010-02-28,PA0007461,Base oil Group 2 N150 fob Asia,value high,775.0
2010-02-28,PA0007462,Base oil Group 2 N500 fob Asia,value high,850.0
2010-02-28,PA0007463,Base oil Group 1 SN 500 Asia-Pacific month,value high,832.5
2010-02-28,PA0007464,Base oil Group 1 SN 500 Asia-Pacific quarter,value high,851.3
2010-02-28,PA0007467,Base oil Group 1 SN 150 cfr Northeast Asia,value high,770.0
2010-02-28,PA0007468,Base oil Group 1 SN 500 cfr Northeast Asia,value high,875.0
2010-02-28,PA0007469,Base oil Group 1 Bright stock cfr Northeast Asia,value high,1015.0
2010-02-28,PA0007470,Base oil Group 2 N150 cfr Northeast Asia,value high,800.0
2010-02-28,PA0007471,Base oil Group 2 N500 cfr Northeast Asia,value high,880.0
2010-02-28,PA0007481,Base oil Group 1 SN 150 China NE Daqing domestic $/t,value high,1128.0
2010-02-28,PA0007482,Base oil Group 1 SN 150 China NE Dalian domestic $/t,value high,1143.0
2010-02-28,PA0007483,Base oil Group 1 SN 150 China N Yanshan domestic $/t,value high,1137.0
2010-02-28,PA0007484,Base oil Group 1 SN 150 China S Maoming domestic $/t,value high,1099.0
2010-02-28,PA0007485,Base oil Group 1 SN 400 China NE Dalian domestic $/t,value high,1275.0
2010-02-28,PA0007486,Base oil Group 1 SN 400 China S Maoming domestic $/t,value high,1114.0
2010-02-28,PA0007487,Base oil Group 2 N150 China E Qaoqiao domestic $/t,value high,1245.0
2010-02-28,PA0007493,Base oil Group 1 SN 150 cfr Northeast Asia inc. taxes and duty $/t,value high,1180.0
2010-02-28,PA0007494,Base oil Group 1 SN 500 cfr Northeast Asia inc. taxes and duty $/t,value high,1310.0
2010-02-28,PA0007495,Base oil Group 1 Bright stock cfr Northeast Asia inc. taxes and duty $/t,value high,1484.0
2010-02-28,PA0007496,Base oil Group 2 N150 cfr Northeast Asia inc. taxes and duty $/t,value high,1217.0
2010-02-28,PA0007497,Base oil Group 2 N500 cfr Northeast Asia inc. taxes and duty $/t,value high,1316.0
2010-02-28,PA0007498,Base oil Group 1 SN 150 cfr India,value high,760.0
2010-02-28,PA0007499,Base oil Group 1 SN 500 cfr India,value high,795.0
2010-02-28,PA0007500,Base oil Group 1 Bright stock cfr India,value high,990.0
2010-02-28,PA0007501,Base oil Group 2 N150 cfr India,value high,780.0
2010-02-28,PA0007502,Base oil Group 2 N500 cfr India,value high,860.0
2010-02-28,PA0007519,Base oil Group 1 SN 150 cfr UAE,value high,820.0
2010-02-28,PA0007520,Base oil Group 1 SN 500 cfr UAE,value high,850.0
2010-02-28,PA0007521,Base oil Group 1 SN 150 fob domestic NWE,value high,850.0
2010-02-28,PA0007522,Base oil Group 1 SN 500 fob domestic NWE,value high,900.0
2010-02-28,PA0007523,Base oil Group 1 Bright stock fob domestic NWE,value high,990.0
2010-02-28,PA0007524,Base oil Group 1 SN 150 fob European export,value high,770.0
2010-02-28,PA0007525,Base oil Group 1 SN 500 fob European export,value high,810.0
2010-02-28,PA0007526,Base oil Group 1 Bright stock fob European export,value high,915.0
2010-02-28,PA0007527,Base oil Group 1 SN 500 fob NWE month,value high,814.4
2010-02-28,PA0007528,Base oil Group 1 SN 500 fob NWE quarter,value high,833.75
2010-02-28,PA0007531,Base oil Group 1 SN 150 fob Baltic Sea,value high,740.0
2010-02-28,PA0007532,Base oil Group 1 SN 500 fob Baltic Sea,value high,750.0
2010-02-28,PA0007533,Base oil Group 1 SN 150 fob Black Sea,value high,755.0
2010-02-28,PA0007534,Base oil Group 1 SN 500 fob Black Sea,value high,765.0
2010-02-28,PA0007535,Base oil Group 1 SN 150 fob United States $/t,value high,720.0
2010-02-28,PA0007536,Base oil Group 1 SN 500 fob United States $/t,value high,970.0
2010-02-28,PA0007537,Base oil Group 1 Bright stock fob United States $/t,value high,956.0
2010-02-28,PA0007541,Base oil Group 2 N100 fob United States $/t,value high,750.0
